연도,분기,분기별_연도,지역,전입자수,전출자수
2016,1,201611,부산광역시,40842.0,43346.0
2016,1,201611,서울특별시,130166.0,144748.0
2016,1,201611,세종특별자치시,5679.0,3820.0
2016,1,201611,울산광역시,11493.0,12217.0
2016,1,201611,인천광역시,40280.0,40288.0
2016,1,201611,전국,645286.0,645286.0
2016,1,201611,전라남도,18921.0,18445.0
2016,1,201611,전북특별자치도,22437.0,21806.0
2016,1,201611,제주특별자치도,7693.0,6701.0
2016,1,201611,충청남도,25035.0,22948.0
2016,1,201611,충청북도,17612.0,16534.0
2016,2,201612,강원특별자치도,21803.0,21026.0
2016,2,201612,경기도,183387.0,170274.0
2016,2,201612,경상남도,38465.0,36693.0
2016,2,201612,경상북도,28199.0,28337.0
2016,2,201612,광주광역시,18560.0,21044.0
2016,2,201612,대구광역시,29237.0,30494.0
2016,2,201612,대전광역시,19783.0,21163.0
2016,2,201612,부산광역시,42053.0,45476.0
2016,2,201612,서울특별시,132110.0,147536.0
2016,2,201612,세종특별자치시,6617.0,4308.0
2016,2,201612,울산광역시,11623.0,12582.0
2016,2,201612,인천광역시,36726.0,36891.0
2016,2,201612,전국,672903.0,672903.0
2016,2,201612,전라남도,24508.0,22533.0
2016,2,201612,전북특별자치도,24934.0,24342.0
2016,2,201612,제주특별자치도,8950.0,7993.0
2016,2,201612,충청남도,27160.0,24402.0
2016,2,201612,충청북도,18788.0,17809.0
2017,1,201701,강원특별자치도,18522.0,19855.0
2017,1,201701,경기도,147008.0,138863.0
2017,1,201701,경상남도,33822.0,33949.0
2017,1,201701,경상북도,25341.0,26785.0
2017,1,201701,광주광역시,17484.0,17358.0
2017,1,201701,대구광역시,26169.0,26266.0
2017,1,201701,대전광역시,18367.0,18700.0
2017,1,201701,부산광역시,37605.0,39613.0
2017,1,201701,서울특별시,114655.0,117173.0
2017,1,201701,세종특별자치시,5331.0,3630.0
2017,1,201701,울산광역시,11137.0,12210.0
2017,1,201701,인천광역시,29578.0,29383.0
2017,1,201701,전국,577151.0,577151.0
2017,1,201701,전라남도,19979.0,21243.0
2017,1,201701,전북특별자치도,20975.0,22213.0
2017,1,201701,제주특별자치도,11105.0,10479.0
2017,1,201701,충청남도,23264.0,22634.0
2017,1,201701,충청북도,16809.0,16797.0
2017,2,201702,강원특별자치도,23477.0,24219.0
2017,2,201702,경기도,186226.0,177324.0
2017,2,201702,경상남도,42196.0,44175.0
2017,2,201702,경상북도,31878.0,34046.0
2017,2,201702,광주광역시,22751.0,24050.0
2017,2,201702,대구광역시,33146.0,33613.0
2017,2,201702,대전광역시,23601.0,24507.0
2017,2,201702,부산광역시,48737.0,50027.0
2017,2,201702,서울특별시,161130.0,162678.0
2017,2,201702,세종특별자치시,7066.0,4612.0
2017,2,201702,울산광역시,13655.0,15728.0
2017,2,201702,인천광역시,38606.0,38956.0
2017,2,201702,전국,748848.0,748848.0
2017,2,201702,전라남도,24414.0,25694.0
2017,2,201702,전북특별자치도,25336.0,26503.0
2017,2,201702,제주특별자치도,13356.0,12126.0
2017,2,201702,충청남도,32414.0,30003.0
2017,2,201702,충청북도,20859.0,20587.0
2017,3,201703,강원특별자치도,21771.0,21877.0
2017,3,201703,경기도,172041.0,162209.0
2017,3,201703,경상남도,38197.0,38767.0
2017,3,201703,경상북도,29122.0,30584.0
2017,3,201703,광주광역시,20451.0,21526.0
2017,3,201703,대구광역시,27779.0,28957.0
2017,3,201703,대전광역시,19915.0,21952.0
2017,3,201703,부산광역시,39566.0,41622.0
2017,3,201703,서울특별시,143477.0,148176.0
2017,3,201703,세종특별자치시,7392.0,4001.0
2017,3,201703,울산광역시,12416.0,13919.0
2017,3,201703,인천광역시,36433.0,36448.0
2017,3,201703,전국,673351.0,673351.0
2017,3,201703,전라남도,22288.0,23082.0
2017,3,201703,전북특별자치도,23022.0,23962.0
2017,3,201703,제주특별자치도,10158.0,9029.0
2017,3,201703,충청남도,30178.0,27861.0
2017,3,201703,충청북도,19145.0,19379.0
2017,4,201704,강원특별자치도,15430.0,15444.0
2017,4,201704,경기도,136220.0,129921.0
2017,4,201704,경상남도,31635.0,31979.0
2017,4,201704,경상북도,21978.0,22496.0
2017,4,201704,광주광역시,15679.0,16691.0
2017,4,201704,대구광역시,22568.0,23205.0
2017,4,201704,대전광역시,15090.0,16194.0
2017,4,201704,부산광역시,34002.0,35946.0
2017,4,201704,서울특별시,112932.0,119307.0
2017,4,201704,세종특별자치시,6298.0,3519.0
2017,4,201704,울산광역시,10745.0,11518.0
2017,4,201704,인천광역시,30495.0,30441.0
2017,4,201704,전국,532108.0,532108.0
2017,4,201704,전라남도,17470.0,17065.0
2017,4,201704,전북특별자치도,16925.0,17498.0
2017,4,201704,제주특별자치도,7390.0,6310.0
2017,4,201704,충청남도,22158.0,20211.0
2017,4,201704,충청북도,15093.0,14363.0
2017,5,201705,강원특별자치도,15883.0,15846.0
2017,5,201705,경기도,147097.0,139991.0
2017,5,201705,경상남도,36716.0,36277.0
2017,5,201705,경상북도,22006.0,22831.0
2017,5,201705,광주광역시,16438.0,16948.0
2017,5,201705,대구광역시,23786.0,24772.0
2017,5,201705,대전광역시,18652.0,20854.0
2017,5,201705,부산광역시,36958.0,39318.0
2017,5,201705,서울특별시,124132.0,130722.0
2017,5,201705,세종특별자치시,9434.0,4624.0
2017,5,201705,울산광역시,10572.0,11593.0
2017,5,201705,인천광역시,34524.0,34365.0
2017,5,201705,전국,578011.0,578011.0
2017,5,201705,전라남도,17433.0,17614.0
2017,5,201705,전북특별자치도,18192.0,18741.0
2017,5,201705,제주특별자치도,7951.0,6666.0
2017,5,201705,충청남도,22636.0,21164.0
2017,5,201705,충청북도,15601.0,15685.0
2017,6,201706,강원특별자치도,15639.0,14859.0
2017,6,201706,경기도,138178.0,132131.0
2017,6,201706,경상남도,35099.0,34485.0
2017,6,201706,경상북도,21740.0,22436.0
2017,6,201706,광주광역시,15601.0,16034.0
2017,6,201706,대구광역시,22260.0,22875.0
2017,6,201706,대전광역시,16847.0,18585.0
2017,6,201706,부산광역시,34064.0,36628.0
2017,6,201706,서울특별시,115236.0,121281.0
2017,6,201706,세종특별자치시,7819.0,4085.0
2017,6,201706,울산광역시,10225.0,11014.0
2017,6,201706,인천광역시,31915.0,31714.0
2017,6,201706,전국,541077.0,541077.0
2017,6,201706,전라남도,16008.0,16439.0
